"","timepoint","seedlingID","0","1"
"319",2,"16_right_CEOL_blue",NA,2.36
"320",2,"16_right_CEOL_green",NA,NA
"321",2,"17_left_CEOL_blue",NA,2.5
"322",2,"17_left_CEOL_green",NA,NA
"323",2,"17_right_CEOL_blue",NA,NA
"324",2,"17_right_CEOL_green",NA,NA
"325",2,"18_left_CEOL_blue",NA,0.58
"326",2,"18_left_CEOL_green",NA,NA
"327",2,"18_right_CEOL_blue",NA,NA
"328",2,"18_right_CEOL_green",NA,NA
"329",2,"19_left_CEOL_blue",NA,NA
"330",2,"19_left_CEOL_green",NA,NA
"331",2,"19_right_CEOL_blue",NA,NA
"332",2,"19_right_CEOL_green",NA,NA
"333",2,"2_left_CEOL_blue",NA,2.01
"334",2,"2_left_CEOL_green",NA,NA
"335",2,"2_right_CEOL_blue",NA,NA
"336",2,"2_right_CEOL_green",NA,1.01
"337",2,"20_left_CEOL_blue",NA,NA
"338",2,"20_left_CEOL_green",NA,NA
"339",2,"20_right_CEOL_blue",NA,NA
"340",2,"20_right_CEOL_green",NA,NA
"341",2,"21_left_CEOL_blue",NA,NA
"342",2,"21_left_CEOL_green",NA,NA
"343",2,"21_right_CEOL_blue",NA,NA
"344",2,"21_right_CEOL_green",NA,NA
"345",2,"22_left_CEOL_blue",1,NA
"346",2,"22_left_CEOL_green",1.8,NA
"347",2,"22_right_CEOL_blue",1.7,NA
"348",2,"22_right_CEOL_green",2.8,NA
"349",2,"23_left_CEOL_blue",NA,0.669
"350",2,"23_left_CEOL_green",NA,NA
"351",2,"23_right_CEOL_blue",NA,NA
"352",2,"23_right_CEOL_green",NA,NA
"353",2,"24_left_CEOL_blue",NA,NA
"354",2,"24_left_CEOL_green",NA,NA
"355",2,"24_right_CEOL_blue",NA,NA
"356",2,"24_right_CEOL_green",NA,NA
"357",2,"25_left_CEOL_blue",NA,NA
"358",2,"25_left_CEOL_green",NA,NA
"359",2,"25_right_CEOL_blue",NA,NA
"360",2,"25_right_CEOL_green",NA,NA
"361",2,"26_left_CEOL_blue",1.32,NA
"362",2,"26_left_CEOL_green",1.39,NA
"363",2,"26_right_CEOL_blue",1,NA
"364",2,"26_right_CEOL_green",NA,4.3
"365",2,"27_left_CEOL_blue",NA,NA
"366",2,"27_left_CEOL_green",1.82,NA
"367",2,"27_right_CEOL_blue",NA,NA
"368",2,"27_right_CEOL_green",NA,NA
"369",2,"28_left_CEOL_blue",2.14,NA
"370",2,"28_left_CEOL_green",2.9,NA
"371",2,"28_right_CEOL_blue",1.53,NA
"372",2,"28_right_CEOL_green",NA,NA
"373",2,"29_left_CEOL_blue",NA,NA
"374",2,"29_left_CEOL_green",NA,NA
"375",2,"29_right_CEOL_blue",NA,NA
"376",2,"29_right_CEOL_green",NA,NA
"377",2,"3_left_CEOL_blue",NA,NA
"378",2,"3_left_CEOL_green",NA,NA
"379",2,"3_right_CEOL_blue",NA,3.41
"380",2,"3_right_CEOL_green",NA,5.63
"381",2,"30_left_CEOL_blue",NA,3.56
"382",2,"30_left_CEOL_green",NA,NA
"383",2,"30_right_CEOL_blue",NA,NA
"384",2,"30_right_CEOL_green",NA,NA
"385",2,"31_left_CEOL_blue",NA,NA
"386",2,"31_left_CEOL_green",NA,NA
"387",2,"31_right_CEOL_blue",NA,NA
"388",2,"31_right_CEOL_green",NA,NA
"389",2,"32_left_CEOL_blue",NA,NA
"390",2,"32_left_CEOL_green",NA,NA
"391",2,"32_right_CEOL_blue",NA,NA
"392",2,"32_right_CEOL_green",NA,NA
"393",2,"33_left_CEOL_blue",NA,3.26
"394",2,"33_left_CEOL_green",NA,NA
