"","species","seedlingID","timepoint_status","timepoint","alive","dead"
"275","CEOL","8_bottom_CEOL","may_alive","may",2.33,NA
"276","CEOL","8_bottom_CEOL","sept_dead","sept",NA,1.384
"277","CEOL","8_top_CEOL","jan_alive","jan",2.64,NA
"278","CEOL","8_top_CEOL","march_alive","march",1.42,NA
"279","CEOL","8_top_CEOL","may_alive","may",2.34,NA
"280","CEOL","8_top_CEOL","sept_dead","sept",NA,NA
"281","CEOL","9_bottom_CEOL","jan_alive","jan",5.07,NA
"282","CEOL","9_bottom_CEOL","march_alive","march",5.14,NA
"283","CEOL","9_bottom_CEOL","may_alive","may",8.13,NA
"284","CEOL","9_bottom_CEOL","sept_alive","sept",11.564,NA
"285","CEOL","9_top_CEOL","jan_alive","jan",1.34,NA
"286","CEOL","9_top_CEOL","march_alive","march",1.86,NA
"287","CEOL","9_top_CEOL","may_alive","may",1.75,NA
"288","CEOL","9_top_CEOL","sept_dead","sept",NA,NA
"289","HEAR","1_bottom_HEAR","jan_alive","jan",7.31,NA
"290","HEAR","1_bottom_HEAR","march_alive","march",6.28,NA
"291","HEAR","1_bottom_HEAR","may_alive","may",7.28,NA
"292","HEAR","1_bottom_HEAR","sept_alive","sept",8.636,NA
"293","HEAR","1_middle_HEAR","jan_alive","jan",5.98,NA
"294","HEAR","1_middle_HEAR","march_alive","march",6.23,NA
"295","HEAR","1_middle_HEAR","may_alive","may",6.59,NA
"296","HEAR","1_middle_HEAR","sept_alive","sept",5.83,NA
"297","HEAR","1_top_HEAR","jan_alive","jan",8.61,NA
"298","HEAR","1_top_HEAR","march_alive","march",7.56,NA
"299","HEAR","1_top_HEAR","may_alive","may",7.82,NA
"300","HEAR","1_top_HEAR","sept_alive","sept",3.725,NA
"301","HEAR","10_bottom_HEAR","jan_alive","jan",5.37,NA
"302","HEAR","10_bottom_HEAR","march_alive","march",7.31,NA
"303","HEAR","10_bottom_HEAR","may_alive","may",8.82,NA
"304","HEAR","10_bottom_HEAR","sept_alive","sept",2.32,NA
"305","HEAR","10_middle_HEAR","jan_alive","jan",5.11,NA
"306","HEAR","10_middle_HEAR","march_alive","march",4.03,NA
"307","HEAR","10_middle_HEAR","may_alive","may",3.72,NA
"308","HEAR","10_middle_HEAR","sept_alive","sept",0.954,NA
"309","HEAR","10_top_HEAR","jan_alive","jan",6.1,NA
"310","HEAR","10_top_HEAR","march_alive","march",5.31,NA
"311","HEAR","10_top_HEAR","may_alive","may",5.68,NA
"312","HEAR","10_top_HEAR","sept_alive","sept",6.035,NA
"313","HEAR","11_bottom_HEAR","jan_alive","jan",4.77,NA
"314","HEAR","11_bottom_HEAR","march_alive","march",4.12,NA
"315","HEAR","11_bottom_HEAR","may_alive","may",4,NA
"316","HEAR","11_bottom_HEAR","sept_dead","sept",NA,NA
"317","HEAR","11_middle_HEAR","jan_alive","jan",6.14,NA
"318","HEAR","11_middle_HEAR","march_alive","march",5.43,NA
"319","HEAR","11_middle_HEAR","may_alive","may",3.81,NA
"320","HEAR","11_middle_HEAR","sept_dead","sept",NA,2.387
"321","HEAR","11_top_HEAR","jan_alive","jan",9.23,NA
"322","HEAR","11_top_HEAR","march_alive","march",8.56,NA
"323","HEAR","11_top_HEAR","may_alive","may",8.98,NA
"324","HEAR","11_top_HEAR","sept_dead","sept",NA,8.903
"325","HEAR","12_bottom_HEAR","jan_alive","jan",8.46,NA
"326","HEAR","12_bottom_HEAR","march_alive","march",7.98,NA
"327","HEAR","12_bottom_HEAR","may_alive","may",5.15,NA
"328","HEAR","12_bottom_HEAR","sept_alive","sept",6.191,NA
"329","HEAR","12_middle_HEAR","jan_alive","jan",3.95,NA
"330","HEAR","12_middle_HEAR","march_alive","march",4.41,NA
"331","HEAR","12_middle_HEAR","may_alive","may",3.86,NA
"332","HEAR","12_middle_HEAR","sept_alive","sept",2.869,NA
"333","HEAR","12_top_HEAR","jan_alive","jan",5.66,NA
"334","HEAR","12_top_HEAR","march_alive","march",4.85,NA
"335","HEAR","12_top_HEAR","may_alive","may",6.74,NA
"336","HEAR","12_top_HEAR","sept_alive","sept",9.993,NA
"337","HEAR","13_bottom_HEAR","jan_alive","jan",5.91,NA
"338","HEAR","13_bottom_HEAR","march_alive","march",6.46,NA
"339","HEAR","13_bottom_HEAR","may_alive","may",8.17,NA
