species,seedlingID,alive_janH,alive_marchH,alive_mayH,alive_septH,aliveinjan,aliveinmarch,aliveinmay,aliveinsept
SAAP,4_top_SAAP,4.14,3.27,3.27,12.20,Y,Y,Y,Y
CEOL,5_bottom_CEOL,4.11,3.64,4.61,3.72,Y,Y,Y,Y
HEAR,5_bottom_HEAR,8.21,7.80,9.50,9.83,Y,Y,Y,Y
RHOV,5_bottom_RHOV,1.21,0.84,1.13,4.59,Y,Y,Y,Y
SAAP,5_bottom_SAAP,1.95,2.31,5.89,5.25,Y,Y,Y,Y
HEAR,5_middle_HEAR,6.12,6.75,6.81,6.40,Y,Y,Y,Y
RHOV,5_middle_RHOV,3.13,4.29,3.90,3.85,Y,Y,Y,Y
SAAP,5_middle_SAAP,3.42,3.17,5.92,5.85,Y,Y,Y,Y
CEOL,5_top_CEOL,0.56,1.86,1.13,NA,Y,Y,Y,N
HEAR,5_top_HEAR,6.75,8.40,10.22,5.62,Y,Y,Y,Y
RHOV,5_top_RHOV,2.17,2.80,4.24,NA,Y,Y,Y,N
SAAP,5_top_SAAP,3.66,5.31,10.09,6.58,Y,Y,Y,Y
CEOL,6_bottom_CEOL,0.88,0.91,1.82,NA,Y,Y,Y,N
HEAR,6_bottom_HEAR,5.51,2.81,1.68,7.08,Y,Y,Y,Y
RHOV,6_bottom_RHOV,0.92,1.25,0.87,0.71,Y,Y,Y,Y
SAAP,6_bottom_SAAP,2.19,2.29,6.95,7.38,Y,Y,Y,Y
HEAR,6_middle_HEAR,5.47,5.52,5.90,7.80,Y,Y,Y,Y
RHOV,6_middle_RHOV,2.70,0.73,NA,NA,Y,Y,N,NA
SAAP,6_middle_SAAP,1.49,3.00,9.73,NA,Y,Y,Y,N
CEOL,6_top_CEOL,2.09,1.57,2.70,NA,Y,Y,Y,N
HEAR,6_top_HEAR,5.86,5.35,9.21,NA,Y,Y,Y,N
RHOV,6_top_RHOV,1.59,0.42,NA,NA,Y,Y,N,NA
SAAP,6_top_SAAP,3.73,4.15,8.50,NA,Y,Y,Y,N
CEOL,7_bottom_CEOL,5.08,4.74,NA,NA,Y,Y,N,NA
HEAR,7_bottom_HEAR,5.53,6.33,5.51,NA,Y,Y,Y,N
RHOV,7_bottom_RHOV,2.96,2.60,2.66,NA,Y,Y,Y,N
SAAP,7_bottom_SAAP,7.99,6.36,7.53,6.97,Y,Y,Y,Y
HEAR,7_middle_HEAR,5.82,4.55,5.33,3.54,Y,Y,Y,Y
RHOV,7_middle_RHOV,1.21,1.74,0.73,NA,Y,Y,Y,N
SAAP,7_middle_SAAP,6.11,3.87,3.73,NA,Y,Y,Y,N
CEOL,7_top_CEOL,1.89,0.26,NA,NA,Y,Y,N,NA
HEAR,7_top_HEAR,7.06,7.14,7.89,3.93,Y,Y,Y,Y
RHOV,7_top_RHOV,1.37,1.41,NA,NA,Y,Y,N,NA
SAAP,7_top_SAAP,2.81,4.16,11.99,7.32,Y,Y,Y,Y
CEOL,8_bottom_CEOL,1.55,1.29,2.33,NA,Y,Y,Y,N
HEAR,8_bottom_HEAR,4.67,4.31,4.62,5.39,Y,Y,Y,Y
RHOV,8_bottom_RHOV,2.14,1.86,2.17,NA,Y,Y,Y,N
SAAP,8_bottom_SAAP,7.59,6.69,3.16,2.93,Y,Y,Y,Y
HEAR,8_middle_HEAR,5.70,5.32,5.87,7.28,Y,Y,Y,Y
RHOV,8_middle_RHOV,2.16,2.14,NA,NA,Y,Y,N,NA
SAAP,8_middle_SAAP,4.68,4.46,4.33,4.61,Y,Y,Y,Y
CEOL,8_top_CEOL,2.64,1.42,2.34,NA,Y,Y,Y,N
HEAR,8_top_HEAR,9.09,8.44,9.02,9.55,Y,Y,Y,Y
RHOV,8_top_RHOV,1.83,NA,NA,NA,Y,N,NA,NA
SAAP,8_top_SAAP,8.13,8.82,12.01,10.59,Y,Y,Y,Y
CEOL,9_bottom_CEOL,5.07,5.14,8.13,11.56,Y,Y,Y,Y
HEAR,9_bottom_HEAR,5.49,5.45,8.84,11.61,Y,Y,Y,Y
RHOV,9_bottom_RHOV,0.85,1.19,1.36,1.86,Y,Y,Y,Y
SAAP,9_bottom_SAAP,6.30,6.36,6.99,NA,Y,Y,Y,N
HEAR,9_middle_HEAR,5.63,5.59,7.60,5.88,Y,Y,Y,Y
RHOV,9_middle_RHOV,2.53,1.87,NA,NA,Y,Y,N,NA
SAAP,9_middle_SAAP,4.03,3.32,4.35,5.80,Y,Y,Y,Y
CEOL,9_top_CEOL,1.34,1.86,1.75,NA,Y,Y,Y,N
HEAR,9_top_HEAR,4.94,4.81,5.60,7.47,Y,Y,Y,Y
RHOV,9_top_RHOV,2.83,2.20,NA,NA,Y,Y,N,NA
SAAP,9_top_SAAP,7.20,6.26,NA,NA,Y,Y,N,NA
